TARGETID,Z_1,TARGET_RA_1,TARGET_DEC_1,SURVEY
2349497623511041,1.5005423358615655,22.6113,-18.8683,main
2349498097467393,1.6308096308384297,52.3749479,-18.638218,main
2349503403261953,1.6272491571504726,25.72,-18.5204,main
2349503931744257,1.694465922076796,58.7915,-18.5264,main
2349509577277441,0.6498143137995088,52.9161,-18.2132,main
2349509761826816,0.8820070608865096,64.6388,-18.2981,main
2349509761826817,0.8815048815758773,64.6385,-18.2985,main
2349514807574529,1.4530313364459706,20.47,-17.9279,main
2349520792846337,1.4530813100322963,34.9128,-17.689,main
2349526379659265,0.16647466131642066,23.8152,-17.4048,main
2349526438379520,0.23077235924517933,27.5958,-17.6114,main
2349532595617792,0.8508572143009829,51.47785,-17.1685,main
2349532746612736,0.8893203668193551,61.113416,-17.20823,main
2349537913995265,0.2176312537058589,22.8471,-16.8833,main
2349543559528449,0.525881941376509,14.4457,-16.7459,main
2349543723106304,0.5656109773081867,24.7171,-16.855999999999998,main
2349543739883521,1.6563736963025202,25.6462,-16.8049,main
2349543886684161,0.7971066744465257,34.7233905,-16.868522,main
2349544029290497,1.3940814546698577,43.8205,-16.6818,main
2349544343863297,0.36065228201987937,63.3868,-16.8334,main
2349549343473665,0.6692901468840987,14.2192,-16.4009,main
2349549695795201,0.21062624973705363,36.0678,-16.3759,main
2349549922287617,0.5715588544371083,50.1538,-16.4063,main
2349555370688513,0.45698764036557865,28.57201,-16.240517,main
2349555857227777,0.5725034176610694,58.5768,-16.1642,main
2349560940724225,0.6466973593932913,13.8103,-15.9162,main
2349561687310337,1.207308438133689,60.0477,-15.8799,main
2349567509004289,0.12597088489553396,60.686157,-15.730002,main
2349573167120385,0.6924172114027787,50.3574,-15.501,main
2349578355474433,1.1049212648077469,10.6224,-15.1893,main
2349584269443075,1.2769545022530322,15.5121,-15.0072,main
2349584978280449,1.2348670175851848,59.2188,-14.9658,main
2349584995057665,0.4071487658113713,60.1162,-15.1167,main
2349585020223489,1.125206671598383,61.6878,-15.0483,main
2349585037000705,0.5111599418833357,62.629,-14.8939,main
2349590250520577,0.19451341613640985,24.2164,-14.8153,main
2349590313435137,1.5164679313132776,27.973000000000006,-14.8072,main
2349590841917441,0.2774262021052113,60.4392,-14.7576,main
2349596697165825,0.8734159460126729,61.0996,-14.3887,main
2349596709748737,0.72514975442369,61.6854,-14.6136,main
2349602451750912,1.1058560844295786,54.713,-14.1391,main
2349607656882177,0.5850431720928965,14.2486,-14.0406,main
2349607891763200,0.33943338212064167,28.8348265,-13.904376,main
2349613734428673,0.8864020347952557,27.3289,-13.8176,main
2349614015447041,0.6342109194134297,44.53100000000001,-13.811,main
2349619224772609,1.4878636342224607,4.0098,-13.4177,main
2349620025884673,0.04281339523650506,53.0103,-13.4188,main
2349625272958977,0.4106406334541584,14.2974,-13.2911,main
2349625394593793,0.7778661073259073,21.5497,-13.2779,main
2349626128596993,1.6038039250535223,66.525817,-13.244115,main
2349630801051649,1.4399380694066197,352.2931,-13.2956,main
2349631476334593,0.9746417709511385,33.5362,-12.8863,main
2349637201559553,0.7329274541301429,23.3419,-12.8674,main
2349637373526017,0.22467144469717046,33.9733,-12.6849,main
2349648475848705,0.6715342823015119,351.1407,-12.4952,main
2349648480043009,1.6950598710823466,351.309937,-12.54878,main
2349648786227201,0.18247605837490977,9.9806,-12.2091,main
2349649285349377,0.3480491476061099,40.6361,-12.1877,main
2349649310515201,1.4157800537951075,42.14735737,-12.16131869,main
2349649344069633,0.016109340579246387,44.0142,-12.2549,main
2349654385623041,1.6928004007131348,351.4284,-12.2424,main
2349655220289536,0.8243705838390111,42.13437,-12.1016,main
2349655220289537,0.8250551448998669,42.1339,-12.1009,main
2349660102459393,0.3540285170050429,339.3991,-12.0431,main
2349660274425857,0.054152007884375165,350.027,-12.036,main
2349660572221441,0.5182004189359274,8.0393,-11.7518,main
2349660870017025,0.2534286967184624,26.1386,-11.7034,main
2349666217754625,0.8695380337905804,351.1264520000001,-11.651456,main
2349667018866689,0.7147119448987195,40.0262,-11.4254,main
2349667497017345,0.9920060607690527,69.0024,-11.5471,main
2349672312078337,1.2924296336623429,1.7043,-11.2178,main
2349672442101761,0.6872624743075958,9.4652,-11.1775,main
2349672752480257,1.2242592970857746,28.4671,-11.2546,main
2349672773451777,0.38469586824789564,29.5568,-11.2714,main
2349672786034689,0.05179191691147801,30.5445,-11.1548,main
2349678712586240,0.16741289175878243,30.1743,-11.0446,main
2349678712586241,1.62585889809337,30.1737,-11.0436,main
2349678729363457,0.7920138280991845,31.26280851,-11.09537917,main
2349678729363458,0.6089691162773345,31.2392,-11.0526,main
2349678729363459,0.5603463135581082,31.2393,-11.0529,main
2349679136210945,0.6833813341710846,55.7678,-10.8809,main
2349679295594497,0.5118303708759638,65.457,-11.0481,main
2349684651720705,0.20625299543677647,30.1009,-10.7686,main
2349689290620929,0.08109162408794657,311.4236,-10.6779,main
2349690725072897,0.18736847853434904,38.2706,-10.4492,main
2349695909232641,0.10812591037153745,351.8761254,-10.48703472,main
2349696521601025,1.577845292446107,29.178355,-10.183327,main
2349697255604224,0.2480932765402781,73.5288,-10.2235,main
2349702414598145,0.24239673269462794,25.8356011,-10.067574,main
2349702557204481,0.8172593418279366,34.3097,-10.0966,main
2349708127240193,0.8258737057691865,11.1171,-9.8221,main
